100,0,0,10,6,10,10,10,5
200,20,25,45,26,40,35,35,20
300,100,115,127,75,105,90,86,51
400,290,340,274,168,220,190,186,106
500,660,812,519,331,410,360,356,197
600,1300,1641,911,599,706,635,630,333
700,2315,2971,1507,1008,1147,1047,1044,533
800,3833,5043,2394,1600,1773,1644,1647,822
900,5994,8036,3612,2446,2650,2480,2488,1206
1000,8959,12964,5535,3559,3807,3594,3617,1722
1100,12945,18733,7734,5022,5313,5057,5099,2390
1200,18064,26504,10551,6913,7245,6940,7014,3245
1300,24582,37342,14422,9301,9678,9314,9439,4317
1400,32713,51535,19406,12269,12696,12256,12463,5643
1500,42733,71190,26219,15918,16371,15854,16174,7269
1600,54869,95173,34357,20322,20803,20199,20680,9221
1700,69429,125133,44433,25597,26134,25389,26059,11552
1800,86717,161526,56597,31830,32413,31533,32478,14345
1900,107048,205004,71446,39264,39891,38738,40075,17636
2000,130803,257950,89163,47820,48469,47134,48891,21455
