100,0,0,5,0,7,5,5,0
200,20,25,34,20,40,26,25,10
300,101,118,118,80,116,92,90,40
400,291,346,298,217,276,237,231,105
500,662,827,648,481,567,512,501,225
600,1306,1697,1250,930,1048,978,957,426
700,2322,3029,2181,1635,1783,1703,1668,736
800,3839,5123,3647,2680,2863,2773,2723,1196
900,6001,8097,5596,4167,4382,4288,4216,1847
1000,8967,13073,8836,6197,6447,6353,6256,2740
1100,12913,18791,12515,8892,9177,9092,8965,3915
1200,18033,26378,17390,12387,12702,12636,12471,5435
1300,24544,37030,24180,16824,17169,17130,16923,7365
1400,32677,51202,33076,22359,22729,22729,22473,9773
1500,42682,70904,45319,29161,29558,29606,29299,12746
1600,54827,94694,60087,37416,37824,37938,37569,16343
1700,69391,124572,78518,47304,47717,47927,47480,20650
1800,86685,161149,100949,59046,59459,59766,59239,25765
1900,107020,204553,127381,72839,73238,73671,73061,31780
2000,130785,258937,159838,89063,89508,89929,89238,38922
